#,topic,tentative_subtema,knowledge_class,relative_path,doc_id
513,procedimiento_tributario,,normative_base,CORE ya Arriba/RENTA/NORMATIVA/Normativa/04_Libro1_T1_Cap3_Renta_Bruta.md,CORE_ya_Arriba_RENTA_NORMATIVA_Normativa_04_Libro1_T1_Cap3_Renta_Bruta.md
514,procedimiento_tributario,,normative_base,CORE ya Arriba/RUT_RESPONSABILIDADES/NORMATIVA/RUT-N01-marco-legal-RUT-responsabilidades-actualizacion.md,CORE_ya_Arriba_RUT_RESPONSABILIDADES_NORMATIVA_RUT-N01-marco-legal-RUT-responsabilidades-actualizacion.md
515,procedimiento_tributario,,practica_erp,to upload/URLS-PIPELINE-DIAN/LOGGRO/PRACTICA_URLs-operativas-DIAN-directorio-contador.md,to_upload_URLS-PIPELINE-DIAN_LOGGRO_PRACTICA_URLs-operativas-DIAN-directorio-contador.md
516,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/consolidado/Ley-1111-2006.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_consolidado_Ley-1111-2006.md
517,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/consolidado/Ley-1430-2010.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_consolidado_Ley-1430-2010.md
518,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/consolidado/Ley-1739-2014.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_consolidado_Ley-1739-2014.md
519,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/consolidado/Ley-1819-2016.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_consolidado_Ley-1819-2016.md
520,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/consolidado/Ley-1943-2018.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_consolidado_Ley-1943-2018.md
521,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/consolidado/Ley-2010-2019.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_consolidado_Ley-2010-2019.md
522,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/consolidado/Ley-49-1990.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_consolidado_Ley-49-1990.md
523,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/consolidado/Ley-6-1992.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_consolidado_Ley-6-1992.md
524,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/consolidado/Ley-75-1986.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_consolidado_Ley-75-1986.md
525,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/EXPERTOS/EXPERTOS_Ley-1111-2006.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_EXPERTOS_EXPERTOS_Ley-1111-2006.md
526,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/EXPERTOS/EXPERTOS_Ley-1739-2014.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_EXPERTOS_EXPERTOS_Ley-1739-2014.md
527,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/EXPERTOS/EXPERTOS_Ley-1943-2018.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_EXPERTOS_EXPERTOS_Ley-1943-2018.md
528,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/EXPERTOS/EXPERTOS_Ley-2010-2019.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_EXPERTOS_EXPERTOS_Ley-2010-2019.md
529,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/EXPERTOS/EXPERTOS_Ley-49-1990.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_EXPERTOS_EXPERTOS_Ley-49-1990.md
530,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/EXPERTOS/EXPERTOS_Ley-6-1992.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_EXPERTOS_EXPERTOS_Ley-6-1992.md
531,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/LOGGRO/PRACTICA_Ley-1111-2006.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_LOGGRO_PRACTICA_Ley-1111-2006.md
532,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/LOGGRO/PRACTICA_Ley-1430-2010.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_LOGGRO_PRACTICA_Ley-1430-2010.md
533,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/LOGGRO/PRACTICA_Ley-1607-2012.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_LOGGRO_PRACTICA_Ley-1607-2012.md
534,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/LOGGRO/PRACTICA_Ley-1739-2014.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_LOGGRO_PRACTICA_Ley-1739-2014.md
535,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/LOGGRO/PRACTICA_Ley-1819-2016.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_LOGGRO_PRACTICA_Ley-1819-2016.md
536,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/LOGGRO/PRACTICA_Ley-1943-2018.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_LOGGRO_PRACTICA_Ley-1943-2018.md
537,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/LOGGRO/PRACTICA_Ley-2010-2019.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_LOGGRO_PRACTICA_Ley-2010-2019.md
538,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/LOGGRO/PRACTICA_Ley-2155-2021.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_LOGGRO_PRACTICA_Ley-2155-2021.md
539,reformas_tributarias,,normative_base,CORE ya Arriba/LEYES/REFORMAS_TRIBUTARIAS/LOGGRO/PRACTICA_Ley-223-1995.md,CORE_ya_Arriba_LEYES_REFORMAS_TRIBUTARIAS_LOGGRO_PRACTICA_Ley-223-1995.md
